text,label
"hello? hi, this is claire from westfield insurance, i'm the adjuster assigned to your claim from the hailstorm on the fourteenth. oh good, i've been waiting to hear back. sorry for the delay, we've had high volume from that storm. i've reviewed the photos you submitted and i'd like to schedule the roof inspection. i have tuesday or thursday afternoon available. thursday works. will i owe anything at the inspection? nothing at the inspection, and never pay anyone who shows up unannounced claiming to be with us, unfortunately storm chasers do that. our inspector will have company id and you'll get a confirmation email today with his name and photo. i appreciate that. see you thursday.",0
"hello? hi, this is the rewards redemption line for your airline points. a large points balance is set to expire in forty-eight hours. i've been meaning to use those. to prevent expiration and convert them to a travel credit, i confirm your account and the card linked to it for the conversion fee, a small nineteen dollars. a fee to keep my own points? the conversion carries a processing fee, ma'am, but it saves a balance worth far more. if they expire in two days they're gone entirely. read me the card and i'll convert them now before the deadline.",1
"hi, is this rachel? we met at the conference in denver last spring. i think you have the wrong number, i've never been to denver. oh no, how embarrassing! i'm so sorry. although, you sound very kind about it, most people just hang up. ha, no worries, it happens. it does! well, wrong number or not, it's nice to talk to a friendly person. i just moved to the area for work, i'm in commodities trading, and i barely know anyone. do you mind if i save this number? maybe i could tell you sometime how i ended up here, it's a funny story. i suppose that's harmless. wonderful. and who knows, maybe i'll return the kindness one day. in my line of work, good information finds its way to good people.",1
"hello. hi, i'm calling about a balance in final review under your name. this is your last chance to settle it voluntarily. i don't owe anyone. the original party turned it over to us in the spring. with fees it stands at nineteen hundred, but i'm authorized today to close it for five-fifty if you pay by phone now. send me proof. the paperwork stage passed months ago, ma'am. if we hang up without payment, the reduced offer is void and the full amount plus legal costs applies. i'd hate that over five hundred dollars.",1
"hello. good afternoon, this is the metering office. your home is scheduled for a mandatory meter replacement, and our records show your appointment deposit was never received. nobody told me about any replacement. notifications went out in your service area last month. the deposit is sixty dollars, fully credited to your next bill, but if it's not on file when the technician arrives thursday, your service gets interrupted until the following cycle, which can be three weeks. three weeks with no service? i'm afraid so, it's a compliance matter, out of our hands. i can secure thursday's slot right now if you have a card handy.",1
"hello, i'm with the emergency relief coalition. you've seen the wildfires on the news. yes, it's awful. families are sleeping in shelters tonight. we send one hundred percent to victims, but only funds received tonight make tomorrow's supply run. i usually give through my church. churches take weeks to route it, sir. these families can't wait weeks. i can take a card now, even forty dollars puts water on the truck at dawn. which card? let me look up your group first. while you look, a family goes without. that's what hesitation costs.",1
"hello. i am assigned to a confidential review involving a request made from your phone number. what request? i cannot discuss it until i confirm your name, date of birth, and the code sent now. i am ending the call. before you do, understand that the request remains active and may be treated as authorized.",1
", this is from school. you expressed interest in our preschool program. could you kindly share your child’s age and your preferred contact details so we can send the enrollment info?",0
"hello? i am conducting a short consumer study for people in your area. you were selected based on recent purchasing activity. what company is sponsoring it? the sponsor is disclosed after eligibility screening. first, confirm your age range, employer, and household income. i am not giving that to an unknown caller. the study closes today, and qualified participants receive a same-day payment.",1
", this is events team. you rsvp would for our webinar on “ trends in 2025.” just a reminder—it begins on at . need a calendar invite?",0
", this is . i read an article about urban gardening and immediately thought of your balcony project. there is a workshop happening this at . shall we register together?",0
"hello. good afternoon, this is the school transportation office. there's an outstanding balance on your child's activity account that's blocking their field trip enrollment. i paid the activity fee already. the base fee, yes, but the transportation surcharge posted late and shows unpaid, sixty-two dollars. if it's not cleared today, your child is pulled from the roster and the seat goes to the waitlist. can i pay through the school portal? the portal's transportation module is down for the migration, that's why we're calling. i can take it now by card so your child keeps their seat. let me call the school office. the office lines are tied up with the same issue, ma'am, and the roster locks at three.",1
", this is . i know you are a huge fan of —there is a special event coming up at on . want to go together?",0
"hello? hi, this is the fraud prevention line for your payment app. we detected a login from a device we don't recognize, and it's attempting to send your entire balance to an unknown contact. stop it, please. i'm holding it, but to reverse the intruder's access i need you to move your balance to the temporary secure wallet i'm creating for you. send it to the handle i provide and it's protected while we lock them out. send my balance somewhere? to your own secure wallet, ma'am, not to anyone else. if you leave the balance where it is, the moment my hold drops, it's gone. send it now and it's safe.",1
", this is from legal aid. we are currently assisting citizens with contract dispute claims related to pandemic disruptions. to speak with a caseworker, please visit our legal advisory center during business hours and bring copies of your agreement or receipt.",0
", this is from gas services. you reached out about an issue with your bill. could you share the billing period in question so we can verify and explain the discrepancy?",0
", this is . launched a platform that helps users create interactive videos for presentations. it might be useful for your next talk. want to assess it together?",0
who is calling? i manage recovery cases for people whose money was moved through unauthorized platforms. your number appeared in a recent case file. i have not reported any loss. that may mean the loss has not been noticed. i can check whether funds are waiting if you provide the wallet address or bank account used online. no. unclaimed recoveries are closed at the end of the week.,1
", this is . i joined a demo of the ai-powered scheduling tool by , and it really simplifies calendar management. it even adjusts for time zones. want me to send you the invite?",0
", this is . i just wanted to check in and see how things have been going at home. i know you have had a lot on your plate lately. let me know if you want to talk or need a distraction.",0
", this is from police services. you mentioned your car was broken into. could you confirm the location and time of the incident so we can file the report?",0
"hello? hi, this is kevin from the technical department. we've been receiving alerts from your internet connection. some of your devices are sending out data to unknown locations. my internet seems fine. that's exactly what makes this dangerous, sir, you can't see it happening. are you in front of your computer right now? i'll walk you through installing a small screen sharing tool so i can show you what we're seeing on our end. i don't know about this. every minute we wait, more of your information is leaving your network. let's just take a look, it costs you nothing.",1
", this is . i wanted to congratulate you on your recent promotion. you truly deserve the recognition. let me know when we can celebrate together.",0
"hello, this is thomas. thomas, i am calling about a package that was redirected twice this morning. we believe the change may not have come from you. it did not. i can freeze the route, but first i need the one-time code sent to the number on the label. i will check the delivery app. the app will not show the redirect until the next scan. by then it may already be collected.",1
"hello? hi, this is the utility rebate program. you qualify for a one-time efficiency rebate on your recent appliance purchase. i did buy a new fridge. that's what triggered your eligibility. the rebate is one hundred and sixty dollars, deposited directly. i just need the bank account for the deposit and a code i'll text to confirm it's you. why the code and the bank details both? the code confirms your phone, the account receives the rebate, standard two-step, ma'am. if we can't verify today the rebate expires, the program budget resets friday. let's get your money to you before then.",1
", this is from insurance agency. your car insurance policy is due for renewal next month. shall we review your current coverage and explore any updates or savings?",0
"hello? hi, this is marcus calling from the fraud prevention team at first national. we flagged some suspicious activity on your debit card and paused it as a precaution. did you attempt a two hundred dollar purchase at a gas station in ohio this morning? no, i'm in oregon, that wasn't me. okay, that confirms our suspicion. the card stays blocked and we'll mail a replacement within five business days. you don't need to give me anything, and if you'd feel safer, hang up and call the number on the back of your card to confirm all this. do you need my account number or anything? no, never share that on an inbound call. everything's already handled on our end.",0
"hello? hi, this is the verification desk for the payment app you use. a new phone was just linked to your account from another city. i didn't link any new phone. then someone else did, which means they're preparing to drain your balance. to unlink them i need you to read me the security code we're sending, which proves you're the real owner and kicks the other device off. the code warns me not to share it. that warning protects you from thieves, ma'am, and i'm the one removing the thief. if you don't read me the code, i can't unlink them, and they'll transfer your balance the moment we hang up.",1
"hello? congratulations, you were shortlisted for the remote coordinator role you applied to. i did apply to a few. which company? the staffing partner covers several brands, sir. you start monday at twenty-nine an hour, fully remote. we just ship your equipment, the company covers the laptop, you only handle the courier insurance, one hundred and thirty dollars, refunded in your first check. i have to pay to start? it's insuring the equipment in transit, not paying for the job. everyone did the same. can you send it today so we lock in monday?",1
"this is dana. dana, hi, it's robert. i'm stuck in back to back meetings and i need a favor handled quietly. robert from the office? you sound different. bad connection, i'm at the airport. listen, i need you to run to the store and pick up four store credit vouchers, five hundred each, for a client appreciation thing that finance dropped the ball on. shouldn't that go through purchasing? there's no time and i'll get you reimbursed today. just scratch off the backs and text me the codes as soon as you have them. keep this between us, i don't want the team thinking finance messed up.",1
"hello? hi, this is the account protection line for your social media profile. we received a report that your account is impersonating someone, and it's queued for permanent removal. i'm not impersonating anyone, it's my real account. then you'll want to stop the removal, which i can do once you prove ownership. i'll send a code to the phone on the account, read it back, and i'll cancel the removal. that code usually says not to share it. the removal-cancellation reuses the login code system, ma'am, so the warning is generic. your account deletes in two hours if unconfirmed, and everything on it is lost. read me the code and i'll save it.",1
"hello? hi, this is alicia from keystone bank's verification team. you applied for a personal loan yesterday and i have a couple of quick follow-ups before we finalize. yes, i did apply, go ahead. the application lists your employer but left the start date blank. how long have you been there? a little over four years. perfect, that completes the file. you'll get the decision by email within two business days. you don't need my social security number again? no, we never re-collect that by phone. everything sensitive stays in the secure application you already submitted. watch for the email.",0
hello? a filing lists your phone number as the responsible contact. who filed it? that information is sealed until i verify your date of birth and address. i will wait for official mail. the response period may expire before mail reaches you.,1
"hello, aunt carol? it's your nephew. danny? is that you? yes, it's danny. i'm in lisbon, the trip i told you about. someone took my bag with my wallet and passport at the train station. i'm at the embassy but they can't help with money. oh no, honey. did you call your mom? her phone goes to voicemail and my flight home is tomorrow morning. i need eight hundred dollars for the emergency travel document and the airline change fee. there's a money transfer office two blocks from here. if you send it to the name i give you, i can pick it up within the hour. the name you give me? wouldn't it just be your name? my id was stolen, remember? the embassy clerk agreed to receive it under his name. please hurry, they close at five.",1
hi. your corporate travel card was added to a digital wallet on another device. i do not have a corporate travel card. then one may have been issued under your profile. i need the code sent to your work phone to disable it. that code signs into my company account. i must access the card console through that account.,1
hi. your contact details were used to authorize a recurring transfer that starts tomorrow. transfer from where? i can only open the source account after confirming your date of birth and the final four digits of your identification number. i will contact my bank. the transfer is outside normal banking hours and may not appear until after the first payment leaves.,1
", this is from travel insurance. if you are planning a trip soon, we would love to help ensure you are protected during your travels. would you like to review your options together?",0
"hi. we completed an exterior inspection in your area and found damage on the side of your roof facing the street. you inspected my house without permission? only from public access. the repair may be covered, but the claim window is closing. i can secure an appointment with a refundable deposit. i will get another inspection. after the next storm, the damage may no longer qualify as recent.",1
", this is . there is a trending app called that uses ai to match your mood with music. i have been enjoying it lately. want to try it and create playlists together?",0
"this is megan. megan, your roadside account shows a tow authorization for this afternoon. my car is in my driveway. then the plate may have been entered incorrectly. i can cancel the tow if you confirm the plate and pay the dispatch reversal. i am not paying for an error. once the truck is assigned, the full service charge applies.",1
"hello. hi, am i speaking with the account holder? yes. great. i'm with the security team and we've flagged a transfer attempt out of your account about twenty minutes ago. did you authorize a payment of nine hundred and eighty dollars? no, i didn't. okay, then we need to act fast. i'm going to move your funds to a protected holding account while we investigate. i just need your online banking username and the code we're about to text you. shouldn't i just call my bank directly? sir, by the time you get through their queue the money will be gone. i need that code now.",1
", this is . i finally started reading the book you lent me. it is really interesting, and i can see why you enjoyed it. let us catch up and talk about it soon.",0
"hey, it's me, don't hang up, i'm using a friend's phone. who is this? it's your brother, my phone got wrecked. look, i'm embarrassed to ask but i'm in a jam and you're the only one i trust not to make a thing of it. you don't sound like danny. the line's bad and i've been up all night, okay? i need you to move some money to help a buddy of mine post something, i'll pay you back friday. don't tell mom, she'll lose it. why can't your buddy's family help? they're not answering and the clock's running. please, just this once, i'll send you where to send it.",1
"hello? hi, am i speaking with robert? this is the collections department at northside medical group. i'm calling about an outstanding balance of one hundred and forty dollars from an appointment in march. i don't remember getting a bill for that. that's fair, and you have every right to ask for validation. i'll mail you an itemized statement today, and nothing further happens until you've had time to review it, at least thirty days. so i don't have to pay anything right now on this call? no, and honestly, never pay a debt on the spot from a cold call before seeing it in writing. once you get the statement, you can pay online, by mail, or call us back at the number printed on it.",0
", this is . i hope your week has been going well. i found an event happening at on that matches your interests. would you be interested in going together?",0
", this is from arts society. we are curating a community showcase of creative works. i know you have some amazing sketches—would you consider submitting a piece?",0
hello. your customer account received a refund larger than the original purchase. i do not see any refund. it may still be pending. please log in while i stay on the line and tell me the displayed balance. i will contact support through the website. the correction tool expires when this call ends.,1
", this is from courier support. your package is delayed in transit. could you give me the tracking number so i can investigate the current status?",0
"hello? hi, this is renee from the fraud team at lakeshore bank. we placed a temporary hold on your credit card because we saw two purchases in another country within a minute of each other. were you shopping online overseas today? no, i've been home all day. that confirms it then, we'll keep the card blocked and send a new one. you don't need to give me any numbers, and if you'd like to be sure this call is legitimate, hang up and dial the number on the back of your card. okay, so nothing was actually taken? no, we caught both attempts before they cleared. you're all set.",0
"hello. good morning, this is the disbursement desk for a utility class settlement. customers overbilled during a rate error are receiving refunds. i am a customer, yes. your refund is one hundred and seventy dollars. to send it i confirm the bank account for deposit and a small verification deposit from you of thirty-five dollars, returned instantly with the refund. send money to get a refund? the verification deposit confirms the account belongs to you and releases the refund from escrow, sir. it comes right back with the one-seventy. the claim window closes friday, so let's verify and get your refund moving today.",1
"hello? hi, this is the fraud department at willowbrook bank. your credit card was used two minutes ago for a five-hundred-dollar online order at a furniture store, and it flagged as unusual. did you make it? yes, that's me, i just ordered a desk. that's all i needed. i'll clear the flag and it'll go through. sorry to interrupt. no, i appreciate you checking. should i worry about the card? not at all, it only flagged because it was a bigger purchase at a new merchant. no changes needed, and we never ask for your card number on these calls. good, thanks.",0
hello? a care-plan payment was returned and services are scheduled to pause. i do not receive care services. then the account may have been opened under your information. a minimum payment will keep it from external review while we investigate. i am not paying. the review referral is automatic tonight.,1
", this is . i just wanted to check in and see how things are going with your new job. settling in okay? let us catch up soon—i miss our coffee chats.",0
", this is nursery. we are offering a 20% discount on all indoor plants this week. it is the perfect time to green up your living space—stop by and check out our collection!",0
", this is . i just wanted to wish you a joyful ! hope you are able to relax and enjoy it with the people you care about.",0
", this is . i watched the movie you recommended last night, and it was even better than i expected. i would love to hear your take on it. can we schedule a movie discussion call soon?",0
"hi. we reviewed your resume and would like to send you equipment for a home-based role. which resume? the one indexed through a job board. we will send a check so you can buy the equipment from our approved vendor. why not send the equipment directly? the accounting process requires the employee to purchase it, and training starts monday.",1
who is this? i am from employee travel services. a hotel charge was assigned to you after a group trip. i was not on a group trip. then we need to dispute it before the company bills your personal card. confirm the card expiration date. my employer would not need that by phone. the hotel requires it for the reversal.,1
", this is from airlines. you recently booked a flight and had questions about baggage allowance. could you provide your booking reference so we can verify the details?",0
"hello, is this the family of brian kowalski? yes, brian's my son. is everything okay? ma'am, brian was brought into the emergency department about an hour ago. he's stable, but i'm calling from patient accounts, and there's an admission deposit required before the specialist can see him. oh my god. which hospital? is he hurt badly? he's stable, ma'am, but the specialist consult is on hold pending the deposit, it's one thousand dollars, and i can take it by phone so there's no delay in his care. let me call his cell phone first. his belongings are secured in intake, phones included, that's protocol. every minute the deposit is pending is a minute the specialist is with other patients instead of your son.",1
"who is this? i am assigned to a priority case involving your phone number and a recent identity check. what company are you from? i cannot disclose the client until the identity check is completed. please confirm your full name, date of birth, and current address. i am not doing that. i will note the refusal, but the pending action will continue without your objection.",1
"hello? hi, this is denise from coastline travel about the cruise you booked with us. there was a cabin category change on the ship, and you're owed a credit for the downgrade. yes, they moved us to a lower deck. we're sorry about that. the credit can go back to your original card automatically, nothing needed from you, or become a voucher worth a bit more toward a future trip. the refund to my card, do you need the number? no, it returns to whatever card you paid with, we never need you to read it out. you'll see it in about five business days, and a confirmation email is going out this afternoon. great, thank you.",0
", this is from spa retreat. we are offering a limited-time promotion on our relaxation package. would you like to book a session for yourself or someone special?",0
hello. your camera account is currently shared with an unrecognized email address. i do not know that address. i can remove it if you open the link i sent and allow me to view the device list. i will manage it myself. the shared user may still be watching while you search through the settings.,1
"hello. hi, this is the billing team. we found you've been overcharged for several months and you're owed two hundred and ninety dollars back. oh. on which account? your monthly service account, ma'am. to return the credit i'll log into the portal with you. go to your computer and enter the address i give you. can't you just mail a check? the system only reverses electronically, and this credit clears from the queue at midnight. two minutes and it's back in your hands.",1
hello. a boarding reservation under your name has an unpaid deposit. i do not have a reservation. then i can void it if you confirm the card expiration date used on your customer profile. i will call the boarding facility. the reservation converts to a full charge at the end of the hour.,1
"this is david. david, your closing file shows an urgent change to the transfer instructions. i am not closing on a property. then your identity may have been attached to another transaction. i need your bank name and account number to ensure no funds are routed there. i will contact an attorney. the closing is scheduled before most offices reopen.",1
", this is . is offering a discount on their wireless noise-cancelling headphones this week. i remember you mentioned needing a new pair. should we check it out today?",0
"who is this? i am handling a payment review that was escalated from your local office. what payment? i can disclose the merchant after confirming the last four digits of your debit card and your date of birth. i will visit the office. the review expires before closing time, and the payment may be treated as approved if we do not record your objection.",1
", this is spa & wellness. we are offering an exclusive deal on our relaxation package this week. it includes a 60-minute massage and a free herbal tea session. interested in booking?",0
", this is from counselling services. just confirming your upcoming session on at . if anything is changed, feel free to reach out and we can reschedule.",0
", this is . i am planning to host a small open mic night at next month. you have such a great voice—would you like to perform something? i can help you register if you are interested.",0
"hello? hi, this is the payment protection team for your online marketplace selling account. a buyer paid for an item but the funds are held pending your verification. i did sell something this week. to release the funds to you, we confirm your linked bank by a small test. you send one dollar to the verification handle, it confirms the account is yours, and we release the full payment plus the dollar. sending a dollar to get paid seems backwards. it's how we confirm ownership without exposing your details, sir. held funds expire back to the buyer after seventy-two hours if unverified. let's release your money now.",1
hello? i am calling about a balance connected to a recent patient record. the account is set to move to external review. which clinic? i can provide the facility after confirming your date of birth. i have several doctors. then it is important we match the correct file. a small payment today will prevent the account from leaving our office.,1
hello. a medical device rental was opened using your address. i do not rent any device. then i can cancel delivery if you confirm your insurance number and pay the dispatch reversal. i will call the supplier. the truck leaves the warehouse within the hour.,1
who is calling? i am from the loyalty transfer team. someone attempted to convert your balance into a digital voucher. i did not request that. i can void it after verifying the code sent to your phone. the message says the code authorizes a purchase. that is the system label for voucher cancellations as well. we need to act before it is redeemed.,1
who is this? i am with purchasing support. an order was placed under your name for overnight delivery. i did not place an order. i can cancel it if you confirm the corporate card number. i do not have a corporate card. then the card may have been created in your name as part of the same request.,1
"hello, i'm reaching out on behalf of the emergency relief coalition. you've probably seen the flooding on the news. yes, it's terrible. it is, and families are sleeping in their cars tonight. we're pledging one hundred percent of donations directly to victims, but only funds received tonight make it onto tomorrow's supply trucks. i usually donate through my church. churches take weeks to route the money, sir. these families don't have weeks. i can take a card right now, even fifty dollars puts blankets on the truck at dawn. what card would you like to use? can i look up your organization first? while you're looking, a family goes without. that's the reality of hesitation.",1
"hello. hi, this is devon with the card security team at meridian bank. your credit card was used a few minutes ago for an online purchase of four hundred and sixty dollars at an electronics retailer, and our system flagged it. did you make that purchase? yes, actually, that was me, i just bought a monitor. that's all i needed, i'll clear the flag and the charge will go through normally. sorry for the interruption. no, i appreciate you checking. should i be worried about my card? not at all, the flag was just because it was a larger purchase at a new merchant. no changes needed, and we never need your card number on these calls since we already have the account in front of us.",0
", this is from gas services. you mentioned a discrepancy in your gas bill. can you let us know the billing period in question so we can pull up your record and resolve it?",0
", this is from medical clinic. just confirming your appointment with dr. on at 10:00 am. please arrive a few minutes early if possible.",0
hello. a policy was opened using your address but a different name. i do not know anything about it. i can remove your address if you confirm the property details and your payment card. my card has nothing to do with the address. it is used only to verify that you are the current resident.,1
"this is grace. hi grace, this is officer bell with campus security at weston university, where your daughter maya is a student. she's completely fine, first thing. okay, good, what's up? her wallet was turned in at the dining hall with her student id and a debit card inside. it's locked in our office. her cell went to voicemail so we called her emergency contact. she loses everything. i'll text her. she just needs to stop by the security office in the student center with an id, we're open around the clock. thank you, officer.",0
hello? i am calling from care coordination about a home visit scheduled under your name. i did not schedule a visit. i can cancel it after confirming your date of birth and insurance number. which provider? the provider appears only after the patient record is matched.,1
"hello? good evening, this is rita from the fraud watch team at capital community bank. i'm calling about a wire transfer request submitted this afternoon for nine thousand dollars to an account in texas. before processing wires over five thousand, we call to verbally confirm. did you request this transfer? yes, that's me, i'm buying a used truck from a seller in dallas. understood. i do have to ask a few required questions. has anyone instructed you to make this transfer, told you to keep it secret, or contacted you claiming your money was at risk? no, nothing like that, i found the truck myself and my son checked it out in person. perfect, those are the scam patterns we screen for. your wire will process within the hour.",0
"hello. i am calling about tickets purchased under your email address. the payment cleared, but the delivery profile is incomplete. i did not buy tickets. i can cancel them if you confirm the card number shown on your account. i will contact the ticket site. the tickets transfer to the buyer after the verification window closes.",1
", this is from law firm. i am calling to follow up on your legal consultation inquiry. would you like to schedule a time to discuss your case further?",0
hello? i am calling from expense support. a reimbursement under your name was redirected to a new account. i did not submit an expense. then i can cancel it after verifying your employee number and bank name. i will contact payroll. the reimbursement file closes before payroll reviews tomorrow's exceptions.,1
hello? we found your contact information on a lost-animal recovery file. i have not lost a pet. then someone may have entered your number by mistake. i can close the file after you confirm your address and make the refundable registry deposit. i am not paying a deposit. open files are distributed to shelters and may continue generating calls.,1
"hello? hi, i'm calling from the subscription services center. your premium plan is set to auto-renew tomorrow for three hundred and ninety-nine dollars. i don't remember signing up for any premium plan. it was bundled with a purchase last year, it happens a lot, sir. the good news is i can cancel it and make sure nothing is charged, i just need to confirm the card on file. read me the number on the card you'd like to protect from the charge. you want my full card number to cancel a charge? only to locate the account, sir. if we don't match the card tonight, the renewal processes automatically at midnight and it's nonrefundable after that.",1
", this is art gallery. your submitted artwork is now ready for pickup. please collect it by . if needed, we can also assist with professional framing options.",0
"hello? your online profile is stuck in a loop that may lock you out. i can guide you through the recovery screen. what company are you calling from? the provider name will appear once you open the secure page. please install the small support tool shown there. i am not installing anything. without it, i cannot remove the duplicate session before the lock takes effect.",1
